"","Rk","Season","Conf","W","L","W-L%","SRS","SOS","PFPG","PAPG","AP Pre","AP High","AP Final","NCAA Tournament","Coach(es)","team_name","missing"
"11905","108","1910","Ind","3","7",".300","","","","","","","","","Clayton Teetzel (3-7)","utah-state",FALSE
"11906","109","1909","Ind","1","8",".111","","","","","","","","","Clayton Teetzel (1-8)","utah-state",FALSE
"11907","110","1908","Ind","0","8",".000","","","","","","","","","George Walker (0-8)","utah-state",FALSE
"11908","111","1907","Ind","2","6",".250","","","","","","","","","Peter Campbell (2-6)","utah-state",FALSE
"11909","112","1906","Ind","2","7",".222","","","","","","","","","Peter Campbell (2-7)","utah-state",FALSE
"11910","113","1904","Ind","2","2",".500","","","","","","","","","Peter Campbell (2-2)","utah-state",FALSE
"11911","1","2018","Big Sky","7","9",".438","-9.25","0.82","79.0","85.6","","","","","Todd Simon (7-9)","southern-utah",FALSE
"11912","2","2017","Big Sky","6","27",".182","-15.58","-5.39","77.5","85.3","","","","","Todd Simon (6-27)","southern-utah",FALSE
"11913","3","2016","Big Sky","6","24",".200","-17.36","-4.22","70.6","81.0","","","","","Nick Robinson (6-24)","southern-utah",FALSE
"11914","4","2015","Big Sky","10","19",".345","-11.98","-5.48","69.3","74.0","","","","","Nick Robinson (10-19)","southern-utah",FALSE
"11915","5","2014","Big Sky","2","27",".069","-19.90","-3.19","59.0","74.9","","","","","Nick Robinson (2-27)","southern-utah",FALSE
"11916","6","2013","Big Sky","11","20",".355","-12.04","-5.00","66.6","71.9","","","","","Nick Robinson (11-20)","southern-utah",FALSE
"11917","7","2012","Summit","14","17",".452","-6.22","-3.18","65.7","67.9","","","","","Roger Reid (14-17)","southern-utah",FALSE
"11918","8","2011","Summit","11","19",".367","-7.80","-3.44","69.2","73.1","","","","","Roger Reid (11-19)","southern-utah",FALSE
"11919","9","2010","Summit","7","22",".241","-17.42","-4.75","64.2","73.3","","","","","Roger Reid (7-22)","southern-utah",FALSE
"11920","10","2009","Summit","11","20",".355","-5.44","-2.12","65.1","68.2","","","","","Roger Reid (11-20)","southern-utah",FALSE
"11921","11","2008","Summit","11","19",".367","-6.35","-2.02","69.1","73.1","","","","","Roger Reid (11-19)","southern-utah",FALSE
"11922","12","2007","Mid-Cont","16","14",".533","-4.29","-4.41","67.1","65.8","","","","","Bill Evans (16-14)","southern-utah",FALSE
"11923","13","2006","Mid-Cont","10","20",".333","-7.57","-4.09","68.5","70.9","","","","","Bill Evans (10-20)","southern-utah",FALSE
"11924","14","2005","Mid-Cont","13","15",".464","-9.34","-4.07","69.8","73.1","","","","","Bill Evans (13-15)","southern-utah",FALSE
"11925","15","2004","Mid-Cont","10","18",".357","-8.38","-0.61","64.4","69.5","","","","","Bill Evans (10-18)","southern-utah",FALSE
"11926","16","2003","Mid-Cont","11","17",".393","-9.40","-3.60","67.8","70.6","","","","","Bill Evans (11-17)","southern-utah",FALSE
"11927","17","2002","Mid-Cont","11","16",".407","-4.69","-1.45","64.7","66.7","","","","","Bill Evans (11-16)","southern-utah",FALSE
"11928","18","2001","Mid-Cont","25","6",".806","3.01","-3.42","72.4","65.0","","","","Lost First Round","Bill Evans (25-6)","southern-utah",FALSE
"11929","19","2000","Mid-Cont","16","13",".552","-3.14","-3.99","72.8","71.3","","","","","Bill Evans (16-13)","southern-utah",FALSE
"11930","20","1999","Mid-Cont","13","17",".433","-7.62","-3.12","73.1","75.5","","","","","Bill Evans (13-17)","southern-utah",FALSE
"11931","21","1998","Mid-Cont","7","20",".259","-13.89","-5.41","68.9","76.0","","","","","Bill Evans (7-20)","southern-utah",FALSE
"11932","22","1997","Ind","9","17",".346","-8.03","1.75","62.8","67.2","","","","","Bill Evans (9-17)","southern-utah",FALSE
"11933","23","1996","AWC","15","13",".536","-5.01","-3.89","74.6","70.2","","","","","Bill Evans (15-13)","southern-utah",FALSE
"11934","24","1995","AWC","17","11",".607","0.50","-7.71","79.6","68.8","","","","","Bill Evans (17-11)","southern-utah",FALSE
"11935","25","1994","Ind","16","11",".593","-3.47","-5.34","76.3","70.5","","","","","Bill Evans (16-11)","southern-utah",FALSE
"11936","26","1993","Ind","14","13",".519","-4.60","-3.47","76.1","74.0","","","","","Bill Evans (14-13)","southern-utah",FALSE
"11937","27","1992","Ind","20","8",".714","2.75","-3.42","88.9","79.4","","","","","Bill Evans (5-2), Neil Roberts (15-6)","southern-utah",FALSE
"11938","28","1991","Ind","16","12",".571","-3.41","-8.93","93.0","84.7","","","","","Neil Roberts (16-12)","southern-utah",FALSE
"11939","29","1990","Ind","13","15",".464","-6.08","-3.41","87.3","88.2","","","","","Neil Roberts (13-15)","southern-utah",FALSE
"11940","30","1989","Ind","10","18",".357","-9.31","-0.42","74.5","81.7","","","","","Neil Roberts (10-18)","southern-utah",FALSE
"11941","1","2018","Sun Belt","15","3",".833","7.55","-3.07","84.9","70.1","","","","","Bob Marlin (15-3)","louisiana-lafayette",FALSE
"11942","2","2017","Sun Belt","21","12",".636","-0.64","-3.28","81.9","76.3","","","","","Bob Marlin (21-12)","louisiana-lafayette",FALSE
"11943","3","2016","Sun Belt","19","15",".559","2.62","-1.94","79.6","72.8","","","","","Bob Marlin (19-15)","louisiana-lafayette",FALSE
"11944","4","2015","Sun Belt","22","14",".611","0.82","-3.61","77.5","70.0","","","","","Bob Marlin (22-14)","louisiana-lafayette",FALSE
"11945","5","2014","Sun Belt","23","12",".657","2.91","-0.28","81.0","75.2","","","","Lost Second Round","Bob Marlin (23-12)","louisiana-lafayette",FALSE
"11946","6","2013","Sun Belt","13","20",".394","-4.92","-2.23","70.8","73.1","","","","","Bob Marlin (13-20)","louisiana-lafayette",FALSE
"11947","7","2012","Sun Belt","16","16",".500","-3.25","-2.28","68.4","67.3","","","","","Bob Marlin (16-16)","louisiana-lafayette",FALSE
"11948","8","2011","Sun Belt","14","15",".483","-5.45","-4.19","70.9","71.3","","","","","Bob Marlin (14-15)","louisiana-lafayette",FALSE
"11949","9","2010","Sun Belt","13","17",".433","-4.74","-4.74","68.1","67.5","","","","","Robert Lee (13-17)","louisiana-lafayette",FALSE
"11950","10","2009","Sun Belt","10","20",".333","-6.30","-2.23","66.6","70.5","","","","","Robert Lee (10-20)","louisiana-lafayette",FALSE
"11951","11","2008","Sun Belt","15","15",".500","-3.67","-2.10","65.0","65.8","","","","","Robert Lee (15-15)","louisiana-lafayette",FALSE
"11952","12","2007","Sun Belt","9","21",".300","-10.88","-4.85","67.1","72.7","","","","","Robert Lee (9-21)","louisiana-lafayette",FALSE
"11953","13","2006","Sun Belt","13","16",".448","-1.31","0.59","66.8","68.7","","","","","Robert Lee (13-16)","louisiana-lafayette",FALSE
"11954","14","2005","Sun Belt","20","11",".645","5.71","1.91","72.2","68.0","","","","Lost First Round","Robert Lee (20-11)","louisiana-lafayette",FALSE
"11955","15","2004","Sun Belt","20","9",".690","6.24","0.42","77.0","69.0","","","","Lost First Round","Jessie Evans (20-9)","louisiana-lafayette",FALSE
"11956","16","2003","Sun Belt","20","10",".667","7.92","1.24","77.5","69.5","","","","","Jessie Evans (20-10)","louisiana-lafayette",FALSE
"11957","17","2002","Sun Belt","20","11",".645","2.15","0.15","69.2","66.3","","","","","Jessie Evans (20-11)","louisiana-lafayette",FALSE
"11958","18","2001","Sun Belt","16","13",".552","0.58","-0.46","76.8","74.5","","","","","Jessie Evans (16-13)","louisiana-lafayette",FALSE
"11959","19","2000","Sun Belt","25","9",".735","2.37","-1.58","71.8","67.7","","","","Lost First Round","Jessie Evans (25-9)","louisiana-lafayette",FALSE
"11960","20","1999","Sun Belt","13","16",".448","-1.45","0.00","67.3","68.7","","","","","Jessie Evans (13-16)","louisiana-lafayette",FALSE
"11961","21","1998","Sun Belt","18","13",".581","-0.32","-1.45","75.4","73.5","","","","","Jessie Evans (18-13)","louisiana-lafayette",FALSE
"11962","22","1997","Sun Belt","12","16",".429","-6.04","-2.79","73.4","76.6","","","","","Marty Fletcher (12-16)","louisiana-lafayette",FALSE
"11963","23","1996","Sun Belt","16","12",".571","1.29","0.09","75.5","71.3","","","","","Marty Fletcher (16-12)","louisiana-lafayette",FALSE
"11964","24","1995","Sun Belt","7","22",".241","-8.10","-1.47","68.5","72.6","","","","","Marty Fletcher (7-22)","louisiana-lafayette",FALSE
"11965","25","1994","Sun Belt","22","8",".733","5.70","-1.02","75.5","71.9","","","","Lost First Round","Marty Fletcher (22-8)","louisiana-lafayette",FALSE
"11966","26","1993","Sun Belt","17","13",".567","4.58","1.68","79.7","76.8","","","","","Marty Fletcher (17-13)","louisiana-lafayette",FALSE
"11967","27","1992","Sun Belt","21","11",".656","5.56","0.90","80.2","75.6","","","","Lost Second Round","Marty Fletcher (21-11)","louisiana-lafayette",FALSE
"11968","28","1991","ASC","21","10",".677","4.01","-3.50","91.1","83.6","","","","","Marty Fletcher (21-10)","louisiana-lafayette",FALSE
"11969","29","1990","ASC","20","9",".690","2.87","-2.37","90.4","85.2","","","","","Marty Fletcher (20-9)","louisiana-lafayette",FALSE
"11970","30","1989","ASC","17","12",".586","-1.57","-2.03","84.5","80.6","","","","","Marty Fletcher (17-12)","louisiana-lafayette",FALSE
"11971","31","1988","ASC","12","16",".429","-2.99","1.01","73.6","74.9","","","","","Marty Fletcher (12-16)","louisiana-lafayette",FALSE
"11972","32","1987","Ind","11","17",".393","-5.74","1.11","70.7","76.6","","","","","Marty Fletcher (11-17)","louisiana-lafayette",FALSE
"11973","33","1986","Ind","15","13",".536","3.74","2.45","69.5","67.6","","","","","Bobby Paschal (15-13)","louisiana-lafayette",FALSE
"11974","34","1985","Ind","17","14",".548","5.76","0.79","75.0","67.9","","","","","Bobby Paschal (17-14)","louisiana-lafayette",FALSE
"11975","35","1984","Ind","23","10",".697","7.35","2.83","75.1","66.1","","","","","Bobby Paschal (23-10)","louisiana-lafayette",FALSE
"11976","36","1983","Ind","22","7",".759","6.20","2.20","74.8","67.7","","","","Lost First Round","Bobby Paschal (22-7)","louisiana-lafayette",FALSE
"11977","37","1982","Southland","24","8",".750","6.72","1.24","76.9","68.5","","15","","Lost First Round","Bobby Paschal (24-8)","louisiana-lafayette",FALSE
"11978","38","1981","Southland","15","13",".536","1.18","-0.82","78.3","75.6","","","","","Bobby Paschal (15-13)","louisiana-lafayette",FALSE
"11979","39","1980","Southland","21","9",".700","2.73","-2.20","83.3","77.1","","","","","Bobby Paschal (21-9)","louisiana-lafayette",FALSE
"11980","40","1979","Southland","16","11",".593","1.17","-0.71","82.3","79.4","","","","","Bobby Paschal (16-11)","louisiana-lafayette",FALSE
"11981","41","1978","Southland","19","8",".704","-0.70","-3.40","86.3","79.6","","","","","Jim Hatfield (19-8)","louisiana-lafayette",FALSE
"11982","42","1977","Southland","21","8",".724","1.11","-4.61","81.3","74.9","","","","","Jim Hatfield (21-8)","louisiana-lafayette",FALSE
"11983","43","1976","Southland","7","19",".269","-14.89","-5.89","79.5","88.5","","","","","Jim Hatfield (7-19)","louisiana-lafayette",FALSE
"11984","44","1975","Southland","0","0","","","","","","","","","","None","louisiana-lafayette",FALSE
"11985","45","1974","Southland","0","0","","","","","","","","","","None","louisiana-lafayette",FALSE
"11986","46","1973","Southland","24","5",".828","8.28","-1.23","96.6","85.3","7","7","7","Lost Regional Semifinal","Beryl Shipley (24-5)","louisiana-lafayette",FALSE
"11987","47","1972","Southland","25","4",".862","12.70","1.14","97.9","83.8","","8","8","Lost Regional Semifinal","Beryl Shipley (25-4)","louisiana-lafayette",FALSE
"11988","1","2018","CUSA","9","10",".474","-2.26","-1.70","83.6","77.7","","","","","Steve Henson (9-10)","texas-san-antonio",FALSE
"11989","2","2017","CUSA","14","19",".424","-7.42","-3.03","66.0","69.4","","","","","Steve Henson (14-19)","texas-san-antonio",FALSE
"11990","3","2016","CUSA","5","27",".156","-16.36","-3.36","72.4","84.3","","","","","Brooks Thompson (5-27)","texas-san-antonio",FALSE
"11991","4","2015","CUSA","14","16",".467","-3.33","-2.61","70.7","70.4","","","","","Brooks Thompson (14-16)","texas-san-antonio",FALSE
"11992","5","2014","CUSA","8","22",".267","-11.10","-1.03","68.9","76.8","","","","","Brooks Thompson (8-22)","texas-san-antonio",FALSE
"11993","6","2013","WAC","10","22",".313","-6.47","-1.00","64.0","69.5","","","","","Brooks Thompson (10-22)","texas-san-antonio",FALSE
"11994","7","2012","Southland","18","14",".563","-1.83","-4.40","73.1","67.8","","","","","Brooks Thompson (18-14)","texas-san-antonio",FALSE
"11995","8","2011","Southland","20","14",".588","-5.80","-4.93","70.1","69.5","","","","Lost Second Round","Brooks Thompson (20-14)","texas-san-antonio",FALSE
"11996","9","2010","Southland","19","11",".633","-2.90","-5.44","70.7","66.1","","","","","Brooks Thompson (19-11)","texas-san-antonio",FALSE
"11997","10","2009","Southland","19","13",".594","-4.67","-4.17","75.1","71.4","","","","","Brooks Thompson (19-13)","texas-san-antonio",FALSE
"11998","11","2008","Southland","13","17",".433","-10.43","-2.95","63.4","67.1","","","","","Brooks Thompson (13-17)","texas-san-antonio",FALSE
"11999","12","2007","Southland","7","22",".241","-15.47","-4.07","57.1","66.3","","","","","Brooks Thompson (7-22)","texas-san-antonio",FALSE
"12000","13","2006","Southland","11","17",".393","-5.76","-3.38","73.4","74.9","","","","","Tim Carter (11-17)","texas-san-antonio",FALSE
"12001","14","2005","Southland","15","13",".536","-4.37","-3.93","75.9","73.8","","","","","Tim Carter (15-13)","texas-san-antonio",FALSE
"12002","15","2004","Southland","19","14",".576","-7.22","-6.11","72.7","71.7","","","","Lost First Round","Tim Carter (19-14)","texas-san-antonio",FALSE
"12003","16","2003","Southland","10","17",".370","-11.19","-5.30","66.7","71.9","","","","","Tim Carter (10-17)","texas-san-antonio",FALSE
"12004","17","2002","Southland","19","10",".655","-3.25","-7.84","76.9","72.3","","","","","Tim Carter (19-10)","texas-san-antonio",FALSE
"12005","18","2001","Southland","14","15",".483","-9.33","-7.76","73.9","75.2","","","","","Tim Carter (14-15)","texas-san-antonio",FALSE
"12006","19","2000","Southland","15","13",".536","-4.38","-4.59","76.8","75.1","","","","","Tim Carter (15-13)","texas-san-antonio",FALSE
"12007","20","1999","Southland","18","11",".621","-6.47","-7.03","77.5","75.4","","","","Lost First Round","Tim Carter (18-11)","texas-san-antonio",FALSE
"12008","21","1998","Southland","16","11",".593","-5.94","-9.78","75.9","72.3","","","","","Tim Carter (16-11)","texas-san-antonio",FALSE
"12009","22","1997","Southland","9","17",".346","-14.48","-8.28","74.8","79.6","","","","","Tim Carter (9-17)","texas-san-antonio",FALSE
"12010","23","1996","Southland","14","14",".500","-6.03","-4.69","76.8","78.1","","","","","Tim Carter (14-14)","texas-san-antonio",FALSE
"12011","24","1995","Southland","15","13",".536","-7.88","-6.45","79.1","79.4","","","","","Stu Starner (15-13)","texas-san-antonio",FALSE
"12012","25","1994","Southland","12","15",".444","-8.80","-6.56","77.9","79.1","","","","","Stu Starner (12-15)","texas-san-antonio",FALSE
"12013","26","1993","Southland","15","14",".517","-7.11","-3.31","80.7","82.7","","","","","Stu Starner (15-14)","texas-san-antonio",FALSE
"12014","27","1992","Southland","21","8",".724","-0.81","-6.08","80.5","73.3","","","","","Stu Starner (21-8)","texas-san-antonio",FALSE
"12015","28","1991","A-Sun","21","8",".724","1.31","-8.69","90.7","81.8","","","","","Stu Starner (21-8)","texas-san-antonio",FALSE
"12016","29","1990","A-Sun","22","7",".759","-0.82","-9.71","90.0","80.6","","","","","Ken Burmeister (22-7)","texas-san-antonio",FALSE
"12017","30","1989","A-Sun","15","13",".536","-3.01","-4.38","80.4","73.7","","","","","Ken Burmeister (15-13)","texas-san-antonio",FALSE
"12018","31","1988","A-Sun","22","9",".710","3.75","-0.75","79.6","73.8","","","","Lost First Round","Ken Burmeister (22-9)","texas-san-antonio",FALSE
"12019","32","1987","A-Sun","13","15",".464","-7.40","-7.21","79.6","78.8","","","","","Ken Burmeister (13-15)","texas-san-antonio",FALSE
"12020","33","1986","Ind","7","24",".226","-15.16","-4.71","64.9","73.9","","","","","Don Eddy (4-14), Larry Gatewood (3-10)","texas-san-antonio",FALSE
"12021","34","1985","Ind","18","10",".643","-2.18","-6.42","76.6","72.3","","","","","Don Eddy (18-10)","texas-san-antonio",FALSE
"12022","35","1984","Ind","20","8",".714","0.18","-4.07","74.5","70.3","","","","","Don Eddy (20-8)","texas-san-antonio",FALSE
"12023","36","1983","Ind","10","17",".370","-6.52","-1.05","63.8","65.3","","","","","Don Eddy (10-17)","texas-san-antonio",FALSE
"12024","37","1982","Ind","8","19",".296","-7.63","0.33","63.4","67.8","","","","","Don Eddy (8-19)","texas-san-antonio",FALSE
"12025","1","2018","AEC","14","5","0.737","0.77","-4.95","76.8","70.1",NA,NA,NA,"","Will Brown (14-5)","albany-ny",FALSE
"12026","2","2017","AEC","21","14","0.6","-0.16","-4.69","71.3","65.7",NA,NA,NA,"","Will Brown (21-14)","albany-ny",FALSE
"12027","3","2016","AEC","24","9","0.727","0.93","-7.57","75.6","66.1",NA,NA,NA,"","Will Brown (24-9)","albany-ny",FALSE
"12028","4","2015","AEC","24","9","0.727","-0.34","-5.18","65.3","60.5",NA,NA,NA,"Lost Second Round","Will Brown (24-9)","albany-ny",FALSE
"12029","5","2014","AEC","19","15","0.559","-3.31","-5.22","65.9","63.9",NA,NA,NA,"Lost Second Round","Will Brown (19-15)","albany-ny",FALSE
"12030","6","2013","AEC","24","11","0.686","-0.87","-4.53","64.3","60.7",NA,NA,NA,"Lost Second Round","Will Brown (24-11)","albany-ny",FALSE
"12031","7","2012","AEC","19","15","0.559","-3.92","-6.92","72.1","69.1",NA,NA,NA,"","Will Brown (19-15)","albany-ny",FALSE
"12032","8","2011","AEC","16","16","0.5","-7.05","-5.96","62.9","64",NA,NA,NA,"","Will Brown (16-16)","albany-ny",FALSE
"12033","9","2010","AEC","7","25","0.219","-11.94","-5.53","62.7","69.1",NA,NA,NA,"","Will Brown (7-25)","albany-ny",FALSE
"12034","10","2009","AEC","15","16","0.484","-6.63","-4.11","64","65.7",NA,NA,NA,"","Will Brown (15-16)","albany-ny",FALSE
"12035","11","2008","AEC","15","15","0.5","-4.05","-5.92","68.3","66.4",NA,NA,NA,"","Will Brown (15-15)","albany-ny",FALSE
"12036","12","2007","AEC","23","10","0.697","-1.6","-4.75","67.9","65.1",NA,NA,NA,"Lost First Round","Will Brown (23-10)","albany-ny",FALSE
"12037","13","2006","AEC","21","11","0.656","-0.44","-4.25","68.6","64.5",NA,NA,NA,"Lost First Round","Will Brown (21-11)","albany-ny",FALSE
"12038","14","2005","AEC","13","15","0.464","-2.63","-5.31","67.4","64.7",NA,NA,NA,"","Will Brown (13-15)","albany-ny",FALSE
"12039","15","2004","AEC","5","23","0.179","-15.33","-7.47","57.9","65.8",NA,NA,NA,"","Will Brown (5-23)","albany-ny",FALSE
"12040","16","2003","AEC","7","21","0.25","-14.87","-5.09","65.9","75.7",NA,NA,NA,"","Will Brown (7-21)","albany-ny",FALSE
"12041","17","2002","AEC","8","20","0.286","-16.99","-8.85","56.9","65",NA,NA,NA,"","Scott Beeten (1-7), Will Brown (7-13)","albany-ny",FALSE
"12042","18","2001","Ind","6","22","0.214","-18.87","-8.67","68.9","77.5",NA,NA,NA,"","Scott Beeten (6-22)","albany-ny",FALSE
"12043","19","2000","Ind","11","17","0.393","-15.51","-9.59","65.3","68.6",NA,NA,NA,"","Scott Hicks (11-17)","albany-ny",FALSE
"12044","1","2018","Patriot","4","13",".235","-11.49","-4.14","62.2","69.6","","","","","Bill Carmody (4-13)","holy-cross",FALSE
"12045","2","2017","Patriot","15","17",".469","-5.26","-3.51","60.4","62.1","","","","","Bill Carmody (15-17)","holy-cross",FALSE
"12046","3","2016","Patriot","15","20",".429","-11.20","-6.11","64.8","69.9","","","","Lost First Round","Bill Carmody (15-20)","holy-cross",FALSE
"12047","4","2015","Patriot","14","16",".467","-6.23","-3.82","66.0","67.3","","","","","Milan Brown (14-16)","holy-cross",FALSE
"12048","5","2014","Patriot","20","14",".588","-1.58","-3.28","67.0","65.3","","","","","Milan Brown (20-14)","holy-cross",FALSE
"12049","6","2013","Patriot","12","18",".400","-6.14","-2.97","61.1","64.3","","","","","Milan Brown (12-18)","holy-cross",FALSE
"12050","7","2012","Patriot","15","14",".517","-6.02","-4.23","65.0","66.8","","","","","Milan Brown (15-14)","holy-cross",FALSE
"12051","8","2011","Patriot","8","21",".276","-6.38","-4.55","67.2","69.0","","","","","Milan Brown (8-21)","holy-cross",FALSE
"12052","9","2010","Patriot","9","22",".290","-8.03","-5.57","69.3","71.7","","","","","Sean Kearney (9-22)","holy-cross",FALSE
"12053","10","2009","Patriot","18","14",".563","-3.56","-5.91","64.6","62.3","","","","","Ralph Willard (18-14)","holy-cross",FALSE
"12054","11","2008","Patriot","15","14",".517","-2.67","-3.60","61.4","60.5","","","","","Ralph Willard (15-14)","holy-cross",FALSE
"12055","12","2007","Patriot","25","9",".735","3.32","-3.06","63.9","57.5","","","","Lost First Round","Ralph Willard (25-9)","holy-cross",FALSE
"12056","13","2006","Patriot","20","12",".625","2.21","-3.70","66.4","60.5","","","","","Ralph Willard (20-12)","holy-cross",FALSE
"12057","14","2005","Patriot","25","7",".781","5.88","-4.21","66.9","56.8","","","","","Ralph Willard (25-7)","holy-cross",FALSE
"12058","15","2004","Patriot","13","15",".464","-1.77","-6.69","63.1","58.6","","","","","Ralph Willard (13-15)","holy-cross",FALSE
"12059","16","2003","Patriot","26","5",".839","5.26","-5.38","70.3","58.7","","","","Lost First Round","Ralph Willard (26-5)","holy-cross",FALSE
"12060","17","2002","Patriot","18","15",".545","-1.62","-5.10","63.1","59.6","","","","Lost First Round","Ralph Willard (18-15)","holy-cross",FALSE
"12061","18","2001","Patriot","22","8",".733","-0.31","-5.84","67.8","62.3","","","","Lost First Round","Ralph Willard (22-8)","holy-cross",FALSE
"12062","19","2000","Patriot","10","18",".357","-11.35","-7.96","59.9","63.3","","","","","Ralph Willard (10-18)","holy-cross",FALSE
"12063","20","1999","Patriot","7","20",".259","-17.37","-7.22","57.1","66.8","","","","","William Raynor (7-20)","holy-cross",FALSE
"12064","21","1998","Patriot","7","20",".259","-16.58","-8.24","68.4","76.8","","","","","William Raynor (7-20)","holy-cross",FALSE
"12065","22","1997","Patriot","8","19",".296","-14.52","-8.19","67.2","73.6","","","","","William Raynor (8-19)","holy-cross",FALSE
"12066","23","1996","Patriot","16","13",".552","-9.27","-9.20","77.2","77.4","","","","","William Raynor (16-13)","holy-cross",FALSE
"12067","24","1995","Patriot","15","12",".556","-8.10","-9.84","77.4","75.7","","","","","William Raynor (15-12)","holy-cross",FALSE
"12068","25","1994","Patriot","14","14",".500","-10.51","-6.37","83.7","87.8","","","","","George Blaney (14-14)","holy-cross",FALSE
"12069","26","1993","Patriot","23","7",".767","2.59","-5.04","85.4","77.8","","","","Lost First Round","George Blaney (23-7)","holy-cross",FALSE
"12070","27","1992","Patriot","18","11",".621","-1.02","-5.95","81.8","76.6","","","","","George Blaney (18-11)","holy-cross",FALSE
"12071","28","1991","Patriot","18","12",".600","-2.69","-5.82","80.0","76.3","","","","","George Blaney (18-12)","holy-cross",FALSE
"12072","29","1990","MAAC","24","6",".800","3.00","-6.11","85.4","76.4","","","","","George Blaney (24-6)","holy-cross",FALSE
"12073","30","1989","MAAC","13","15",".464","-4.99","-3.21","82.2","83.1","","","","","George Blaney (13-15)","holy-cross",FALSE
"12074","31","1988","MAAC","14","15",".483","-5.68","-3.50","87.9","90.0","","","","","George Blaney (14-15)","holy-cross",FALSE
"12075","32","1987","MAAC","9","19",".321","-9.28","-3.25","64.9","70.2","","","","","George Blaney (9-19)","holy-cross",FALSE
"12076","33","1986","MAAC","12","18",".400","-11.01","-6.70","70.8","75.2","","","","","George Blaney (12-18)","holy-cross",FALSE
"12077","34","1985","MAAC","9","19",".321","-8.28","-2.09","70.3","75.4","","","","","George Blaney (9-19)","holy-cross",FALSE
"12078","35","1984","MAAC","12","18",".400","-2.36","-1.57","72.2","72.8","","","","","George Blaney (12-18)","holy-cross",FALSE
"12079","36","1983","ECACN","17","13",".567","-3.12","-4.05","72.2","71.2","","","","","George Blaney (17-13)","holy-cross",FALSE
"12080","37","1982","ECACN","16","11",".593","-2.34","-4.38","69.1","67.1","","","","","George Blaney (16-11)","holy-cross",FALSE
"12081","38","1981","ECACN","20","10",".667","2.26","-2.78","72.4","66.3","","","","","George Blaney (20-10)","holy-cross",FALSE
"12082","39","1980","ECACN","19","11",".633","-0.53","-3.21","79.4","76.0","","","","Lost First Round","George Blaney (19-11)","holy-cross",FALSE
"12083","40","1979","Ind","17","11",".607","0.22","-1.43","79.3","76.2","","","","","George Blaney (17-11)","holy-cross",FALSE
"12084","41","1978","Ind","20","7",".741","4.62","-4.13","86.0","76.7","18","12","","","George Blaney (20-7)","holy-cross",FALSE
"12085","42","1977","Ind","23","6",".793","6.39","-3.07","88.0","77.6","","","","Lost First Round","George Blaney (23-6)","holy-cross",FALSE
"12086","43","1976","Ind","22","10",".688","-0.19","-2.09","79.6","76.4","","","","","George Blaney (22-10)","holy-cross",FALSE
"12087","44","1975","Ind","20","8",".714","3.71","-1.92","81.2","73.5","","","","","George Blaney (20-8)","holy-cross",FALSE
"12088","45","1974","Ind","8","18",".308","-9.88","-1.96","78.1","84.8","","","","","George Blaney (8-18)","holy-cross",FALSE
"12089","46","1973","Ind","9","17",".346","-7.13","-3.00","80.6","82.5","","","","","George Blaney (9-17)","holy-cross",FALSE
"12090","47","1972","Ind","15","11",".577","-5.52","-2.00","82.0","82.8","","","","","Jack Donohue (15-11)","holy-cross",FALSE
"12091","48","1971","Ind","18","8",".692","6.54","-3.27","85.4","74.0","","","","","Jack Donohue (18-8)","holy-cross",FALSE
"12092","49","1970","Ind","16","9",".640","-3.96","-2.17","83.8","82.0","","","","","Jack Donohue (16-9)","holy-cross",FALSE
"12093","50","1969","Ind","16","8",".667","2.53","-1.42","74.9","70.8","","","","","Jack Donohue (16-8)","holy-cross",FALSE
"12094","51","1968","Ind","15","8",".652","-2.61","-1.96","77.9","76.3","","","","","Jack Donohue (15-8)","holy-cross",FALSE
"12095","52","1967","Ind","16","9",".640","2.91","-0.32","74.9","71.0","","","","","Jack Donohue (16-9)","holy-cross",FALSE
"12096","53","1966","Ind","10","13",".435","-6.71","-2.81","69.3","72.2","","","","","Jack Donohue (10-13)","holy-cross",FALSE
"12097","54","1965","Ind","13","10",".565","-4.68","-2.27","83.0","78.4","","","","","Frank Oftring (13-10)","holy-cross",FALSE
"12098","55","1964","Ind","15","8",".652","-4.62","-6.92","81.6","76.1","","","","","Frank Oftring (15-8)","holy-cross",FALSE
"12099","56","1963","Ind","16","9",".640","-0.15","-3.10","","","","","","","Frank Oftring (16-9)","holy-cross",FALSE
"12100","57","1962","Ind","20","6",".769","6.34","-7.30","83.0","68.6","","","","","Frank Oftring (20-6)","holy-cross",FALSE
"12101","58","1961","Ind","21","5",".808","3.33","-4.77","86.6","76.3","","","","","Roy Leenig (21-5)","holy-cross",FALSE
"12102","59","1960","Ind","20","6",".769","2.94","-1.46","80.5","71.5","","13","16","","Roy Leenig (20-6)","holy-cross",FALSE
"12103","60","1959","Ind","14","11",".560","0.72","-0.63","","","","","","","Roy Leenig (14-11)","holy-cross",FALSE
"12104","61","1958","Ind","16","9",".640","-1.59","-2.86","","","","","","","Roy Leenig (16-9)","holy-cross",FALSE
"12105","62","1957","Ind","11","12",".478","-4.47","-0.41","","","","","","","Roy Leenig (11-12)","holy-cross",FALSE
"12106","63","1956","Ind","22","5",".815","11.14","-1.44","79.9","65.6","","7","14","Lost First Round","Roy Leenig (22-5)","holy-cross",FALSE
"12107","64","1955","Ind","19","7",".731","9.68","-2.85","79.1","63.0","","5","","","Buster Sheary (19-7)","holy-cross",FALSE
